short_id	faixa	marca	classe	categoria	nome	numero	evidencias	praise	texto	pdf_id
014e	sem_louvor	✓	criar_praise	Cifra	Ensina-me a amar				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNXphVzVoTFcxbElHRWdZVzFoY2k5RGFXWnlZUzV3WkdZPS5wZGY=
014f	sem_louvor	✓	criar_praise	Cifra	Entrando no santo dos santos				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNTBjbUZ1Wkc4Z2JtOGdjMkZ1ZEc4Z1pHOXpJSE5oYm5SdmN5OURhV1p5WVM1d1pHWT0ucGRm
0151	sem_louvor	·	adicionar_junto_com	Cifra	Entrega (Preciso me entregar, Senhor)				adicionar como Cifra junto com 0150, inclusive enriqueça com (Preciso me entregar, Senhor) o título do praise.	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNTBjbVZuWVNBb1VISmxZMmx6YnlCdFpTQmxiblJ5WldkaGNpd2dVMlZ1YUc5eUtTOURhV1p5WVM1d1pHWT0ucGRm
0152	sem_louvor	✓	criar_praise	Cifra	Entregue-se a Jesus				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXNTBjbVZuZFdVdGMyVWdZU0JLWlhOMWN5OURhV1p5WVM1d1pHWT0ucGRm
0153	sem_louvor	✓	criar_praise	Cifra	Espera em Deus				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTndaWEpoSUdWdElFUmxkWE12UTJsbWNtRXVjR1JtLnBkZg==
0154	sem_louvor	·	criar_praise	Cifra	Esperei com paciência				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTndaWEpsYVNCamIyMGdjR0ZqYWNPcWJtTnBZUzlEYVdaeVlTNXdaR1k9LnBkZg==
0156	sem_louvor	✓	criar_praise	Cifra	Essência de Deus				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTnp3NnB1WTJsaElHUmxJRVJsZFhNdlEybG1jbUV1Y0dSbS5wZGY=
0157	ambiguo	✓	substituir	Partitura	Esta Alegria Não Vai Mais Sair		num	1ec1d016	Substituir o choir do coldigom por esse	QXZ1bHNvcy8zMzEucGRm
0158	ambiguo	✓	nao_levar	Cifra	Esta Obra é de Deus		num	40952ea7	Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBZU0JQWW5KaElNT3BJR1JsSUVSbGRYTXZRMmxtY21FdWNHUm0ucGRm
0159	sem_louvor	✓	criar_praise	Cifra	Esta mensagem que estas ouvindo				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBZU0J0Wlc1ellXZGxiU0J4ZFdVZ1pYTjBZWE1nYjNWMmFXNWtieTlEYVdaeVlTNXdaR1k9LnBkZg==
015d	ambiguo	✓	nao_levar	Partitura	Estamos Aqui, ó Deus		num+slug		Não precisa levar	QXZ1bHNvcy8zMzIucGRm
015e	ambiguo	✓	nao_levar	Cifra	Estamos aqui, ó Deus		num+slug		Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBZVzF2Y3lCaGNYVnBMQ0REc3lCRVpYVnpMME5wWm5KaExuQmtaZz09LnBkZg==
015f	ambiguo	✓	(sem texto)	Partitura	Este é o Meu Desejo (Toma Meu O Coração)		nome~+classe	185983c5		YXNzZXRzL0F2dWxzb3MgRGl2ZXJzb3MvOTc1LnBkZg
0160	sem_louvor	✓	criar_praise	Cifra	Este é o meu Deus (Deus de Abraão)				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBaU0REcVNCdklHMWxkU0JFWlhWeklDaEVaWFZ6SUdSbElFRmljbUhEbzI4cEwwTnBabkpoTG5Ca1pnPT0ucGRm
0162	ambiguo	✓	manter_coldigom	Cifra	Estende tua mão		num	59d84bec	Mantenha do Coldigom	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBaVzVrWlNCMGRXRWdiY09qYnk5RGFXWnlZUzV3WkdZPS5wZGY=
0163	media	✓	adicionar_material	Partitura	Estou Ao Teu Dispor		nome+kind-unico	458389d3	adicionar como choir	QXZ1bHNvcy8zMzkucGRm
0164	ambiguo	✓	(sem texto)	Partitura	Estou Aqui (venho a ti)		nome	44b1997a		YXNzZXRzL1BFUyAoRW5jb250cm8gZGUgTG91dm9yIFNldGVtYnJvIDIwMjYpLzIzNmUwYzVlLTBiM2EtNDM2MC05MGE5LWIzOWZiZDY4NmJmNi5wZGY
0165	media	✗	criar_praise	Cifra	Estou ao seu dispor		nome~	458389d3	Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBiM1VnWVc4Z2MyVjFJR1JwYzNCdmNpOURhV1p5WVM1d1pHWT0ucGRm
0166	faltante	✓	adicionar_material	Cifra	Estou aqui		nome	44b1997a	adicionar como Cifra	YXNzZXRzL1BFUyAoRW5jb250cm8gZGUgTG91dm9yIFNldGVtYnJvIDIwMjYpL0VTVE9VIEFRVUkucGRm
0167	sem_louvor	✓	criar_praise	Cifra	Estou contigo				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBiM1VnWTI5dWRHbG5ieTlEYVdaeVlTNXdaR1k9LnBkZg==
0168	sem_louvor	✓	criar_praise	Cifra	Estou em paz				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYTjBiM1VnWlcwZ2NHRjZMME5wWm5KaExuQmtaZz09LnBkZg==
0169	media	✓	(sem texto)	Partitura	Estou passando por provas (Maravilhoso é servir a Deus)		hash-so	6644f510		MDYxMTIwMjUvRXN0b3UgcGFzc2FuZG8gcG9yIHByb3ZhcyAoTWFyYXZpbGhvc28gw6kgc2VydmlyIGEgRGV1cykvUGFydGl0dXJhLnBkZg==
016d	media	✓	nao_levar	Cifra	Está é a mensagem eterna de Deus		nome+kind-unico	cadaf656	Não precisa levar	QXZ1bHNvcy9Fc3RhIGUgYSBtZW5zYWdlbSBldGVybmEgZGUgRGV1cyAtIENpZnJhLnBkZg==
016f	media	✓	(sem texto)	Partitura	Eu Acordei Já Louvando (Louvar Em Meio Às Provas)		nome~+hash	bf52f714		QXZ1bHNvcy81MTEucGRm
0170	media	✓	(sem texto)	Partitura	Eu Cantarei Ao Meu Senhor (Salmus)		nome~+hash	9c0124bd		QXZ1bHNvcy85MDMucGRm
0171	ambiguo	✓	(sem texto)	Partitura	Eu Clamo Pelo Sangue de Jesus		nome	13a20300		MzAxMDIwMjUvRXUgQ2xhbW8gUGVsbyBTYW5ndWUgZGUgSmVzdXMgLSBDb3JvLnBkZg==
0175	media	✓	(sem texto)	Partitura	Eu Sei Que Ele Virá (Deus Três Vezes Santo)		hash-so	c72c5e0a		QXZ1bHNvcy8yNjYucGRm
0177	ambiguo	✓	(sem texto)	Partitura	Eu Vi o Senhor		num+slug			QXZ1bHNvcy8wNjAucGRm
0178	media	✓	(sem texto)	Partitura	Eu Vou Cantar Da Glória (Louvar Seu Nome Sempre)		nome~+classe+hash	3aec18e9		QXZ1bHNvcy81MTYucGRm
017c	ambiguo	✓	nao_levar	Cifra	Eu confio em Ti, Senhor		num	95fe5e63	Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYVWdZMjl1Wm1sdklHVnRJRlJwTENCVFpXNW9iM0l2UTJsbWNtRXVjR1JtLnBkZg==
017d	sem_louvor	✓	criar_praise	Cifra	Eu creio (Quando o impossível)				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYVWdZM0psYVc4Z0tGRjFZVzVrYnlCdklHbHRjRzl6YzhPdGRtVnNLUzlEYVdaeVlTNXdaR1k9LnBkZg==
017e	ambiguo	✗	criar_praise	Cifra	Eu creio em ti		nome~+classe		Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYVWdZM0psYVc4Z1pXMGdkR2t2UTJsbWNtRXVjR1JtLnBkZg==
017f	media	✓	(sem texto)	Partitura	Eu não posso fugir do Espírito		nome~+hash	df0bcb70		QXZ1bHNvcy9EcExJQ00gLSBFdSBuYW8gcG9zc28gZnVnaXIgLSBDT1JPLnBkZg==
0180	ambiguo	✗	criar_praise	Cifra	Eu não posso fugir do teu espírito		nome+slug+classe		Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYVWdic09qYnlCd2IzTnpieUJtZFdkcGNpQmtieUIwWlhVZ1pYTnd3NjF5YVhSdkwwTnBabkpoTG5Ca1pnPT0ucGRm
0181	alta	✓	(sem texto)	Partitura	Eu preciso de Ti		nome+hash	7b3536f9		QXZ1bHNvcy9EcExJQ00gLSBFdSBwcmVjaXNvIGRlIHRpIC0gQ09STy5wZGY=
0182	faltante	✓	adicionar_material	Cifra	Eu preciso de ti		nome	7b3536f9	adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJYVWdjSEpsWTJsemJ5QmtaU0IwYVM5RGFXWnlZUzV3WkdZPS5wZGY=
